Cliente;Vlr_EUSD;Mes_eusd;AnoEUSD;
5;314.15;MAI_18;2018;
11;0.00;MAI_18;2018;
42;48.25;MAI_18;2018;
119;40.70;MAI_18;2018;
251;0.00;MAI_18;2018;
292;405.89;MAI_18;2018;
310;0.00;MAI_18;2018;
356;5.95;MAI_18;2018;
393;67.31;MAI_18;2018;
399;5.95;MAI_18;2018;
402;0.00;MAI_18;2018;
521;5.95;MAI_18;2018;
581;5.95;MAI_18;2018;
646;344.33;MAI_18;2018;
672;0.00;MAI_18;2018;
676;0.00;MAI_18;2018;
677;0.00;MAI_18;2018;
678;0.00;MAI_18;2018;
709;0.00;MAI_18;2018;
833;25.81;MAI_18;2018;
839;57.38;MAI_18;2018;
872;19.85;MAI_18;2018;
909;71.48;MAI_18;2018;
910;71.48;MAI_18;2018;
922;5.95;MAI_18;2018;
976;5.95;MAI_18;2018;
1019;95.91;MAI_18;2018;
1022;33.75;MAI_18;2018;
1055;50.24;MAI_18;2018;
1062;61.55;MAI_18;2018;
1101;54.80;MAI_18;2018;
1111;9.92;MAI_18;2018;
1112;77.84;MAI_18;2018;
1134;31.77;MAI_18;2018;
1148;36.73;MAI_18;2018;
1383;5.95;MAI_18;2018;
1559;150.92;MAI_18;2018;
1683;19.85;MAI_18;2018;
1744;59.37;MAI_18;2018;
1848;19.85;MAI_18;2018;
1957;0.00;MAI_18;2018;
2118;9.92;MAI_18;2018;
2187;9.92;MAI_18;2018;
2295;39.12;MAI_18;2018;
2331;70.09;MAI_18;2018;
2487;5.95;MAI_18;2018;
2488;5.95;MAI_18;2018;
2636;404.30;MAI_18;2018;
2960;117.16;MAI_18;2018;
2982;19.85;MAI_18;2018;
3164;683.11;MAI_18;2018;
3248;35.74;MAI_18;2018;
3390;428.93;MAI_18;2018;
3460;0.00;MAI_18;2018;
3674;76.45;MAI_18;2018;
3679;63.94;MAI_18;2018;
3683;125.10;MAI_18;2018;
3684;19.85;MAI_18;2018;
3686;34.15;MAI_18;2018;
3687;73.07;MAI_18;2018;
3691;48.85;MAI_18;2018;
3692;751.42;MAI_18;2018;
4020;0.00;MAI_18;2018;
4219;19.85;MAI_18;2018;
4226;39.71;MAI_18;2018;
4249;48.65;MAI_18;2018;
4266;0.00;MAI_18;2018;
4312;43.68;MAI_18;2018;
4318;23.82;MAI_18;2018;
4382;53.41;MAI_18;2018;
4443;39.71;MAI_18;2018;
4456;29.78;MAI_18;2018;
4465;39.71;MAI_18;2018;
4517;0.00;MAI_18;2018;
4521;45.67;MAI_18;2018;
4768;77.64;MAI_18;2018;
4771;0.00;MAI_18;2018;
4797;69.50;MAI_18;2018;
4814;5.95;MAI_18;2018;
4878;37.73;MAI_18;2018;
5044;100.28;MAI_18;2018;
5100;19.85;MAI_18;2018;
5174;0.00;MAI_18;2018;
5271;52.82;MAI_18;2018;
5275;125.30;MAI_18;2018;
5285;14.69;MAI_18;2018;
5290;57.78;MAI_18;2018;
5314;79.03;MAI_18;2018;
5587;56.79;MAI_18;2018;
5640;587.79;MAI_18;2018;
5910;0.00;MAI_18;2018;
6059;45.87;MAI_18;2018;
6159;34.35;MAI_18;2018;
6257;51.63;MAI_18;2018;
6286;0.00;MAI_18;2018;
6408;0.00;MAI_18;2018;
6669;18.26;MAI_18;2018;
6870;0.00;MAI_18;2018;
6877;0.00;MAI_18;2018;
6912;0.00;MAI_18;2018;
6927;401.33;MAI_18;2018;
6939;1216.10;MAI_18;2018;
6946;55.60;MAI_18;2018;
7064;99.29;MAI_18;2018;
7073;31.77;MAI_18;2018;
7075;0.00;MAI_18;2018;
7098;100.28;MAI_18;2018;
7278;5.95;MAI_18;2018;
7300;49.24;MAI_18;2018;
7426;1247.28;MAI_18;2018;
7460;68.11;MAI_18;2018;
7466;40.31;MAI_18;2018;
7487;136.62;MAI_18;2018;
7529;19.85;MAI_18;2018;
7552;19.85;MAI_18;2018;
7565;33.75;MAI_18;2018;
7586;69.70;MAI_18;2018;
7587;68.51;MAI_18;2018;
7650;25.81;MAI_18;2018;
7682;53.21;MAI_18;2018;
7697;889.63;MAI_18;2018;
7714;142.97;MAI_18;2018;
7751;53.61;MAI_18;2018;
7934;7.14;MAI_18;2018;
8005;33.75;MAI_18;2018;
8026;5.95;MAI_18;2018;
8038;75.85;MAI_18;2018;
8177;63.54;MAI_18;2018;
8210;73.47;MAI_18;2018;
8247;5.95;MAI_18;2018;
8331;0.00;MAI_18;2018;
8332;5.95;MAI_18;2018;
8356;55.40;MAI_18;2018;
8406;61.55;MAI_18;2018;
8470;98.09;MAI_18;2018;
8489;5.95;MAI_18;2018;
8649;19.85;MAI_18;2018;
8909;165.61;MAI_18;2018;
8966;0.00;MAI_18;2018;
9196;41.70;MAI_18;2018;
9273;91.34;MAI_18;2018;
9275;19.85;MAI_18;2018;
9298;1685.74;MAI_18;2018;
9311;0.00;MAI_18;2018;
9347;5.95;MAI_18;2018;
9348;5.95;MAI_18;2018;
9349;11.91;MAI_18;2018;
9350;0.00;MAI_18;2018;
9352;0.00;MAI_18;2018;
9353;0.00;MAI_18;2018;
9354;5.95;MAI_18;2018;
9355;0.00;MAI_18;2018;
9356;10.72;MAI_18;2018;
9357;5.95;MAI_18;2018;
9358;5.95;MAI_18;2018;
9364;5.95;MAI_18;2018;
9369;71.09;MAI_18;2018;
9409;27.80;MAI_18;2018;
9441;8.73;MAI_18;2018;
9495;5.95;MAI_18;2018;
9620;19.85;MAI_18;2018;
