Cliente;Vlr_EUSD;Mês_EUSD
6;122,01;EUSD_AGO18
123;8,86;EUSD_AGO18
188;19,78;EUSD_AGO18
347;47,40;EUSD_AGO18
347;47,40;EUSD_AGO18
362;6,18;EUSD_AGO18
368;100,58;EUSD_AGO18
382;25,76;EUSD_AGO18
427;26,79;EUSD_AGO18
443;37,09;EUSD_AGO18
443;37,09;EUSD_AGO18
459;105,11;EUSD_AGO18
459;105,11;EUSD_AGO18
525;71,93;EUSD_AGO18
559;488,89;EUSD_AGO18
559;488,89;EUSD_AGO18
646;344,82;EUSD_AGO18
789;35,03;EUSD_AGO18
791;20,61;EUSD_AGO18
832;74,19;EUSD_AGO18
837;44,31;EUSD_AGO18
878;81,00;EUSD_AGO18
918;119,95;EUSD_AGO18
918;119,95;EUSD_AGO18
942;20,61;EUSD_AGO18
942;20,61;EUSD_AGO18
985;6,18;EUSD_AGO18
1148;35,03;EUSD_AGO18
1148;35,03;EUSD_AGO18
1148;35,03;EUSD_AGO18
1148;35,03;EUSD_AGO18
1151;20,61;EUSD_AGO18
1161;28,64;EUSD_AGO18
1161;28,64;EUSD_AGO18
1232;6,18;EUSD_AGO18
1232;6,18;EUSD_AGO18
1232;6,18;EUSD_AGO18
1232;6,18;EUSD_AGO18
1282;25,96;EUSD_AGO18
1282;25,96;EUSD_AGO18
1303;12,77;EUSD_AGO18
1303;12,77;EUSD_AGO18
1335;6,80;EUSD_AGO18
1335;6,80;EUSD_AGO18
1422;50,29;EUSD_AGO18
1422;50,29;EUSD_AGO18
1451;38,74;EUSD_AGO18
1521;35,65;EUSD_AGO18
1550;51,52;EUSD_AGO18
1550;51,52;EUSD_AGO18
1675;166,94;EUSD_AGO18
1675;166,94;EUSD_AGO18
1675;166,94;EUSD_AGO18
1675;166,94;EUSD_AGO18
1675;166,94;EUSD_AGO18
1675;166,94;EUSD_AGO18
1878;80,58;EUSD_AGO18
1878;80,58;EUSD_AGO18
1920;174,36;EUSD_AGO18
1981;28,85;EUSD_AGO18
1987;44,72;EUSD_AGO18
2001;23,49;EUSD_AGO18
2001;23,49;EUSD_AGO18
2118;10,30;EUSD_AGO18
2325;58,53;EUSD_AGO18
2403;43,48;EUSD_AGO18
2879;68,22;EUSD_AGO18
2932;20,61;EUSD_AGO18
3006;0,00;EUSD_AGO18
3140;19,78;EUSD_AGO18
3140;19,78;EUSD_AGO18
3172;59,77;EUSD_AGO18
3172;59,77;EUSD_AGO18
3181;30,71;EUSD_AGO18
3181;30,71;EUSD_AGO18
3303;31,32;EUSD_AGO18
3312;10,30;EUSD_AGO18
3351;10,30;EUSD_AGO18
3351;10,30;EUSD_AGO18
3371;10,30;EUSD_AGO18
3371;10,30;EUSD_AGO18
3382;10,30;EUSD_AGO18
3382;10,30;EUSD_AGO18
3410;47,40;EUSD_AGO18
3410;47,40;EUSD_AGO18
3683;123,66;EUSD_AGO18
3683;123,66;EUSD_AGO18
3726;37,71;EUSD_AGO18
3726;37,71;EUSD_AGO18
3745;0,00;EUSD_AGO18
3781;37,71;EUSD_AGO18
3781;37,71;EUSD_AGO18
3793;60,59;EUSD_AGO18
3848;20,61;EUSD_AGO18
3848;20,61;EUSD_AGO18
3848;20,61;EUSD_AGO18
3848;20,61;EUSD_AGO18
3882;105,11;EUSD_AGO18
3913;20,61;EUSD_AGO18
4005;20,61;EUSD_AGO18
4008;20,61;EUSD_AGO18
4105;535,06;EUSD_AGO18
4126;142,83;EUSD_AGO18
4126;142,83;EUSD_AGO18
4142;89,86;EUSD_AGO18
4142;89,86;EUSD_AGO18
4172;55,64;EUSD_AGO18
4206;199,51;EUSD_AGO18
4230;136,03;EUSD_AGO18
4232;20,61;EUSD_AGO18
4417;53,58;EUSD_AGO18
4487;20,61;EUSD_AGO18
4688;59,77;EUSD_AGO18
4688;59,77;EUSD_AGO18
4688;59,77;EUSD_AGO18
4688;59,77;EUSD_AGO18
4688;59,77;EUSD_AGO18
4688;59,77;EUSD_AGO18
4688;59,77;EUSD_AGO18
4688;59,77;EUSD_AGO18
4688;59,77;EUSD_AGO18
4688;59,77;EUSD_AGO18
4810;29,06;EUSD_AGO18
4810;29,06;EUSD_AGO18
4883;61,83;EUSD_AGO18
4995;51,11;EUSD_AGO18
4995;51,11;EUSD_AGO18
