Cliente;Vlr_EUSD;Mês_EUSD
5;314,15;EUSD_MAI18
11;0,00;EUSD_MAI18
42;48,25;EUSD_MAI18
119;40,70;EUSD_MAI18
251;0,00;EUSD_MAI18
292;405,89;EUSD_MAI18
310;0,00;EUSD_MAI18
356;5,95;EUSD_MAI18
393;67,31;EUSD_MAI18
399;5,95;EUSD_MAI18
402;0,00;EUSD_MAI18
521;5,95;EUSD_MAI18
581;5,95;EUSD_MAI18
646;344,33;EUSD_MAI18
672;0,00;EUSD_MAI18
676;0,00;EUSD_MAI18
677;0,00;EUSD_MAI18
678;0,00;EUSD_MAI18
709;0,00;EUSD_MAI18
833;25,81;EUSD_MAI18
839;57,38;EUSD_MAI18
872;19,85;EUSD_MAI18
909;71,48;EUSD_MAI18
910;71,48;EUSD_MAI18
922;5,95;EUSD_MAI18
976;5,95;EUSD_MAI18
1019;95,91;EUSD_MAI18
1022;33,75;EUSD_MAI18
1055;50,24;EUSD_MAI18
1062;61,55;EUSD_MAI18
1101;54,80;EUSD_MAI18
1111;9,92;EUSD_MAI18
1112;77,84;EUSD_MAI18
1134;31,77;EUSD_MAI18
1148;36,73;EUSD_MAI18
1383;5,95;EUSD_MAI18
1559;150,92;EUSD_MAI18
1683;19,85;EUSD_MAI18
1744;59,37;EUSD_MAI18
1848;19,85;EUSD_MAI18
1957;0,00;EUSD_MAI18
2118;9,92;EUSD_MAI18
2187;9,92;EUSD_MAI18
2295;39,12;EUSD_MAI18
2331;70,09;EUSD_MAI18
2487;5,95;EUSD_MAI18
2488;5,95;EUSD_MAI18
2636;404,30;EUSD_MAI18
2960;117,16;EUSD_MAI18
2982;19,85;EUSD_MAI18
3164;683,11;EUSD_MAI18
3248;35,74;EUSD_MAI18
3390;428,93;EUSD_MAI18
3460;0,00;EUSD_MAI18
3674;76,45;EUSD_MAI18
3679;63,94;EUSD_MAI18
3683;125,10;EUSD_MAI18
3684;19,85;EUSD_MAI18
3686;34,15;EUSD_MAI18
3687;73,07;EUSD_MAI18
3691;48,85;EUSD_MAI18
3692;751,42;EUSD_MAI18
4020;0,00;EUSD_MAI18
4219;19,85;EUSD_MAI18
4226;39,71;EUSD_MAI18
4249;48,65;EUSD_MAI18
4266;0,00;EUSD_MAI18
4312;43,68;EUSD_MAI18
4318;23,82;EUSD_MAI18
4382;53,41;EUSD_MAI18
4443;39,71;EUSD_MAI18
4456;29,78;EUSD_MAI18
4465;39,71;EUSD_MAI18
4517;0,00;EUSD_MAI18
4521;45,67;EUSD_MAI18
4768;77,64;EUSD_MAI18
4771;0,00;EUSD_MAI18
4797;69,50;EUSD_MAI18
4814;5,95;EUSD_MAI18
4878;37,73;EUSD_MAI18
5044;100,28;EUSD_MAI18
5100;19,85;EUSD_MAI18
5174;0,00;EUSD_MAI18
5271;52,82;EUSD_MAI18
5275;125,30;EUSD_MAI18
5285;14,69;EUSD_MAI18
5290;57,78;EUSD_MAI18
5314;79,03;EUSD_MAI18
5587;56,79;EUSD_MAI18
5640;587,79;EUSD_MAI18
5910;0,00;EUSD_MAI18
6059;45,87;EUSD_MAI18
6159;34,35;EUSD_MAI18
6257;51,63;EUSD_MAI18
6286;0,00;EUSD_MAI18
6408;0,00;EUSD_MAI18
6669;18,26;EUSD_MAI18
6870;0,00;EUSD_MAI18
6877;0,00;EUSD_MAI18
6912;0,00;EUSD_MAI18
6927;401,33;EUSD_MAI18
6939;1216,10;EUSD_MAI18
6946;55,60;EUSD_MAI18
7064;99,29;EUSD_MAI18
7073;31,77;EUSD_MAI18
7075;0,00;EUSD_MAI18
7098;100,28;EUSD_MAI18
7278;5,95;EUSD_MAI18
7300;49,24;EUSD_MAI18
7426;1247,28;EUSD_MAI18
7460;68,11;EUSD_MAI18
7466;40,31;EUSD_MAI18
7487;136,62;EUSD_MAI18
7529;19,85;EUSD_MAI18
7552;19,85;EUSD_MAI18
7565;33,75;EUSD_MAI18
7586;69,70;EUSD_MAI18
7587;68,51;EUSD_MAI18
7650;25,81;EUSD_MAI18
7682;53,21;EUSD_MAI18
7697;889,63;EUSD_MAI18
7714;142,97;EUSD_MAI18
7751;53,61;EUSD_MAI18
7934;7,14;EUSD_MAI18
8005;33,75;EUSD_MAI18
8026;5,95;EUSD_MAI18
8038;75,85;EUSD_MAI18
8177;63,54;EUSD_MAI18
8210;73,47;EUSD_MAI18
8247;5,95;EUSD_MAI18
8331;0,00;EUSD_MAI18
8332;5,95;EUSD_MAI18
8356;55,40;EUSD_MAI18
8406;61,55;EUSD_MAI18
8470;98,09;EUSD_MAI18
8489;5,95;EUSD_MAI18
8649;19,85;EUSD_MAI18
8909;165,61;EUSD_MAI18
8966;0,00;EUSD_MAI18
9196;41,70;EUSD_MAI18
9273;91,34;EUSD_MAI18
9275;19,85;EUSD_MAI18
9298;1685,74;EUSD_MAI18
9311;0,00;EUSD_MAI18
9347;5,95;EUSD_MAI18
9348;5,95;EUSD_MAI18
9349;11,91;EUSD_MAI18
9350;0,00;EUSD_MAI18
9352;0,00;EUSD_MAI18
9353;0,00;EUSD_MAI18
9354;5,95;EUSD_MAI18
9355;0,00;EUSD_MAI18
9356;10,72;EUSD_MAI18
9357;5,95;EUSD_MAI18
9358;5,95;EUSD_MAI18
9364;5,95;EUSD_MAI18
9369;71,09;EUSD_MAI18
9409;27,80;EUSD_MAI18
9441;8,73;EUSD_MAI18
9495;5,95;EUSD_MAI18
9620;19,85;EUSD_MAI18
9637;83,40;EUSD_MAI18
9763;19,46;EUSD_MAI18
9897;0,00;EUSD_MAI18
9955;144,96;EUSD_MAI18
10442;5,95;EUSD_MAI18
10461;17,67;EUSD_MAI18
10523;94,92;EUSD_MAI18
10571;381,27;EUSD_MAI18
10646;476,59;EUSD_MAI18
10665;21,04;EUSD_MAI18
10743;0,00;EUSD_MAI18
10753;155,09;EUSD_MAI18
10790;389,41;EUSD_MAI18
10823;158,66;EUSD_MAI18
10911;148,93;EUSD_MAI18
10913;478,77;EUSD_MAI18
11012;589,78;EUSD_MAI18
11027;1142,23;EUSD_MAI18
11119;5,95;EUSD_MAI18
11181;5,95;EUSD_MAI18
11287;0,00;EUSD_MAI18
11333;68,90;EUSD_MAI18
11548;37,73;EUSD_MAI18
11654;0,00;EUSD_MAI18
11827;59,57;EUSD_MAI18
11857;0,00;EUSD_MAI18
11899;41,70;EUSD_MAI18
12041;105,24;EUSD_MAI18
12099;69,50;EUSD_MAI18
12104;433,10;EUSD_MAI18
12201;0,00;EUSD_MAI18
12389;5,95;EUSD_MAI18
12539;579,05;EUSD_MAI18
12997;44,68;EUSD_MAI18
12999;0,00;EUSD_MAI18
